Vote ID,Question Index,Question,Answer 1 (Type),Vote 1,Answer 2 (Type),Vote 2,Timestamp
6a2726f0d31c3af18fb200c2,Q40,"How to read Dynamical matrix elements (GKK File) – what is the dimension of the numbers, how do they relate to matrix elements, and how are they organized with respect to k‑points?",RAG,Down,LLM,Up,2026-06-08 20:32:48
6a272722d31c3af18fb200c3,Q27,"How can I obtain valid, physically meaningful results from the posdoppler module in ABINIT, given that my current output contains negative values, coarse resolution, and seems inconsistent with expectations?",RAG,Down,LLM,Up,2026-06-08 20:33:38
6a272725d31c3af18fb200c4,Q73,"Where are the utilities after installation? I cannot find the utilities after installing 7.4.3. Where are they? Also, is it serious that Abinit does not have any post-processing tool anymore to plot band structure?",RAG,Up,LLM,Down,2026-06-08 20:33:41
6a272753d31c3af18fb200c5,Q85,"Why does ABINIT report 'The symmetry operation number 5 does not preserve vector lengths and angles' when I provide my own symrel matrices, and how can I fix it?",RAG,Up,LLM,Up,2026-06-08 20:34:27
6a272781d31c3af18fb200c6,Q45,"I am having trouble reading in a pseudopotential file for silicon based on Tutorial 3. In the tbase3_x.files, I changed the last line to Si.GGA_PBE-JTH.xml. This was the only change I made in all. Please help me fix my error.",RAG,Up,LLM,Up,2026-06-08 20:35:13
6a2727aad31c3af18fb200c7,Q72,"When performing a DFPT phonon calculation in a cubic supercell, anaddb reports that the maximum number of symmetry operations (nsym) is 192 while the supercell requires 384. Is it possible to analyze the phonons with anaddb in a cubic supercell, and how can the nsym limit be increased?",RAG,Up,LLM,Up,2026-06-08 20:35:54
6a2727dad31c3af18fb200c8,Q79,Why does ABINIT 7.4.1 segmentation fault with the same configuration that works in 7.2.2?,RAG,Up,N/A,N/A,2026-06-08 20:36:42
6a2727e9d31c3af18fb200c9,Q78,"Why do I obtain different ground‑state results for CoO when running PAW+U with different spin settings (nsppol/nspden/nspinor), and how can I make the calculations converge to the same result?",RAG,Down,LLM,Up,2026-06-08 20:36:57
6a2727f8d31c3af18fb200ca,Q51,"I have encountered a bug in Abinit 8.0.8 where the abi_xheev.f90 routine passes a double instead of a complex number to magmaf_zheevd, resulting in an error. When will this be corrected?",RAG,Up,LLM,Up,2026-06-08 20:37:12
6a272879d31c3af18fb200cb,Q63,Is there a way to vary temperature in GS calculations?,RAG,Up,N/A,N/A,2026-06-08 20:39:21
6a272886d31c3af18fb200cc,Q40,"How to read Dynamical matrix elements (GKK File) – what is the dimension of the numbers, how do they relate to matrix elements, and how are they organized with respect to k‑points?",RAG,Down,LLM,Up,2026-06-08 20:39:34
